APLHA SAUDE, (SU), LDA;5001491539; ; ;RUA RUA NGOLA
Consumidor final;999999999; ; ;Consumidor final
FORÇA MOTRIZ - PRESTAÇÃO DE SERVIÇOS, LDA;5000763292; ; ;Cidade do Kilamba, Bloco W-24 Apt - 114
SOS CRIANÇAS EM PERIGO PERIGO;5000719544; ; 922 977 500;Entrada do condomínio Jardim do Eden bairro Camamma, Município de Talatona  Luanda- Angola
Safota Group;999999999; ; ;Luanda
Go Pub- Marketing e design LDA;5000917150; ;gopub.digitalmarketing@gmail.com;Luanda, viana
GMSP ADVOGADOS;999999999; ; ;Rua António Feliciano de Castilho.
Fenitech Solutions;999999999;info@fenitechsolutions.net; ;Luanda no Município de Belas, Bairro Talatona, VIA1, Condomínio Veneza, Bloco 1, Porta 102.
SONHOS DA VIDA-COMERCIO E PERST DE SERVIÇO (SU), LDA;5000842052;angolanovajose@gmail.com; ;Estrada Nacional 230 - Bairro km 27, Nº s/n
MITUM CONSTRUÇÃO, LDA;5000515175; ; ;RUA 43 - ZONA VERDE III, BELAS, LUANDA
Tcno Trilhus;5000705870; ; ;Patriota, Talatona
A.C.A TRADING - COMÉRCIO E PRESTAÇÃO DE SERVIÇOS, LDA;5001045989; ; ;RUA DA PRAÇA DA BOA VONTADE - BAIRRO MORRO BENTO (PRÓXIMO A UNIVERSIDADE UNIBELAS), Nº 10
Fluidex, Lda;5417064351; ; ;Avenida Pedro de Castro Vandunnem Loy, RuaGenerais (Hotel Rainha Njinga) SB Q3 - casa 156 Luanda - Angola
VOLCANO-PRESTAÇÃO DE SERVIÇOS LDA;5001009478; ;923429526;Luanda - Angola
SADIKA COMERCIO INTERNACIONAL LDA;5001097369; ;930057101;Zango 0
Luhebia Comercial;000029128LA02; ; ;Estrada Nacional n° 230 Luanda-Viana 
