codigo;codigo_barras;product;preco_venda;id_category;quantidade
90919-02258;;BOBINA DE IGNICAO 1ZR COROLLA N/M;32500;;
90919-02164;;DISTRIBUIDOR DE BOBINA 4EFE STARLET / COROLLA;30000;;
22448-1HC0A;IGC207F;BOBINA DE IGNICAO HR16 HR15 /HR12 MICRA;37000;;
22448-6N000;;BOBINA DE IGNICAO QG16DE / QG18DE;37000;;
90919-02238 G;;BOBINA DE IGNICAO COROLLA N/M 2ZZ;42000;;
90919-02238;;BOBINA DE IGNICAO COROLLA N/M 2ZZ;35000;;
90919-02266;;BOBINA DE IGNICAO RAV4 1AZ /2AZ;41000;;
90919-02265;;BOBINA DE IGNICAO RAV4 1AZ /2AZ;40000;;
90919-02240;;BOBINA DE IGNICAO 1NZ /2NZ/1SZ YARIS / VITZ;35000;;
27301-03010;;BOBINA DE IGNICAO  I10 12V;55000;;
27301-38020;;BOBINA DE IGNICAO SONATA 99-03 / SORENTO 02-06;65000;;
90919-02234;;BOBINA DE IGNICAO CAMRY 1MZ;28000;;
25182496;;BOBINA DE IGNICAO B10 SPARK / AVEO 4 PIN;55000;;
27300-2E000;;BOBINA DE IGNICAO ELANTRA 2.8 11-13;25000;;
27300-2GGA0;;BOBINA DE IGNICAO G4KD / G4KE 2.0 / 2.4 TUCSON IX35;35000;;
27301-3E100;;BOBINA DE IGNICAO G6CU SANTAFE/SORENTO/ 3.5 V6;32500;;
27301-26640;;BOBINA DE IGNICAO ACCENT 2006-2009;25000;;
27301-3CEA0;;BOBINA DE IGNICAO AZERA 3.0;35000;;
27301-2B010 G;;BOBINA DE IGNICAO ELANTRA/I20/ACCENT/ CRETA /RIO 1.6;32500;;
27301-2B010;;BOBINA DE IGNICAO ELANTRA/I20/ACCENT/ CRETA /RIO 1.6;25000;;
27301-03000;;BOBINA DE IGNICAO  I10 2008;30000;;
27301-03200;;BOBINA DE IGNICAO I30/I20/ACCENT BUL G4LC/GETZ/ 1.4 14-;22000;;
27301-3C000;;BOBINA DE IGNICAO G6DB SANTA FE 06- 3.3;28000;;
27301-3E400;;BOBINA DE IGNICAO G6EA G6BA V6 2.7 SANTA FE/TUCSON;31500;;
27301-3E400 G;;BOBINA DE IGNICAO G6EA G6BA V6 2.7 SANTA FE/TUCSON;45000;;
27301-3E400CH;;BOBINA DE IGNICAO G6EA G6BA V6 2.7 SANTA FE/TUCSON;31500;;
27300-3F100(G);;BOBINA DE IGNICAO TUCSON /SANTAFE;70000;;
27300-3F100;;BOBINA DE IGNICAO TUCSON /SANTAFE;27500;;
27301-04000;;BOBINA DE IGNICAO DE KIA PICANTO G4LA;27500;;
33400-M68K10;;BOBINA DE IGNICAO CELERIO 08- / ALTO;34500;;
33400-65G00;;BOBINA DE IGNICAO M13A /M15A /G16A /G16B JIMMY;34500;;
33400-65G00 ZORN;;BOBINA DE IGNICAO M13A /M15A /G16A /G16B JIMMY;34500;;
90919-02248;;BOBINA DE IGNICAO 1AZ 2AZ/1TR/2TR/1GR/2UR;34500;;
90919-02243;;BOBINA DE IGNICAO RAV4 1AZ/2AZ;28000;;
90919-02230 CH;;BOBINA DE IGNICAO L/C/ LEXUS/ SEGUOIA / 1GF /2UZFE/3UZFE;34500;;
90919-02230;;BOBINA DE IGNICAO L/C/ LEXUS/ SEGUOIA / 1GF /2UZFE/3UZFE;34500;;
1832A031 TAYOMO;;BOBINA DE IGNICAO PAJERO 6G74 / 6G75;35000;;
90919-02240;;BOBINA DE IGNICAO 1NZ /2NZ/1SZ;28500;;
27305-2B000;;CABO DE BOBINA  ACCENT;28500;;
