97606-B4000;;AC CONDENSADOR DE GRANDE I10 2012;1;64285,71;;;
97606-1R000;;AC CONDENSADOR DE HYUNDAI ACCENT/KIA RIO -011;2;64285,71;;;
97606-3X000;;AC CONDENSADOR DE HYUNDAI ELANTRA N/M 10-12 YEBI;2;64285,71;;;995
97606-0X000;CH-4482;AC CONDENSADOR DE HYUNDAI I10;3;50000,00;;;
97606-2Y500;;AC CONDENSADOR DE PICANTO 16V 2012-2013;0;64285,71;;;
97606-2W500;;AC CONDENSADOR DE SANTAFE 2013-2018 88-70068;2;85714,29;;;
97606-4H000 POKC;;AC CONDENSADOR H1 CXA-0918;3;71428,57;;;
97606-1J000;CH-5187;AC CONDENSADOR I20 2008-2012;2;64285,71;;;
88461-60150 UNKB;;AC CONDENSADOR L/CRUISER 07- 1FZ;2;92857,14;;;
88460-60420 UNKB;;AC CONDENSADOR PRADO 09- 88-75094;2;71428,57;;;
97606-C1000 UNKB;;AC CONDENSADOR SONATA / OPTIMA 2017 OPC;2;71428,57;;;
95310-63J00 UNKB;;AC CONDENSADOR SWIFT 06- 0923 POKKA;2;64285,71;;;
90099-52059;;AC CONDENSADOR UNIVERSAL SC-158;0;4571,43;;;
88460-0D290 UNKB;;AC CONDENSADOR YARIS 2013-;2;57142,86;;;
7812A171;872;AC CONDENSOR DO MITSUBISHI L200N/M POKKA;1;71428,57;;;
CONC.1250;;ACIDO DE BATERIA 1 LTR.;0;914,29;;;
CONC.1250 5 LITRO;;ACIDO DE BATERIA 5 LTR.;0;4571,43;;;
47061-26040;;AFINADOR CINTAS DO TOYOTA COMUTER;0;2285,71;;;
47061-60020/30;;AFINADOR CINTAS UNIVERSAL;0;4857,14;;;
N3002;;AFINADOR DE CHEVROLET N300;0;47111,11;;;
BJJX-1016;;AFINADOR DE CINTA DE HIACE N/M;5;17857,14;;;
BJJX-1014;;AFINADOR DE CINTA DE HILUX N/M;0;32142,86;;;
BJJX-1041;;AFINADOR DE CINTA DE MIT. L200;3;17142,87;;;
BS-24510;;AFINADOR DE CINTA N300;0;27857,14;;;
KOKA;;AGUA DE RADIADOR;0;14285,71;;;
27040-54180;;ALTENADOR DO COMUTER 3L 55A;0;60000,00;;;
23100-02N13;;ALTENADOR DO NISSAN TERRANO TD23/25;0;51428,57;;;
27060-30140 ZUKC;ALT 601-061;ALTERNADOR 2KDFTV / 1KDFTV;2;114285,71;;;
27060-0C020 STRH;ALT 101-245;ALTERNADOR 2TRFE / 1TRFE;1;100000,00;;;12V 80A 7PK / 27060-75310
27030-64120;ALT 101-104;ALTERNADOR DE COMUTER 3L;0;107142,86;;;27040-54210
27030-54360;;ALTERNADOR DE COMUTER 5L FICHA QUDRADO;0;107142,86;;;
27060-11080;ALT 101-023 / 376;ALTERNADOR DE COROLLA 2E;0;42857,14;;;
27060-16160;;ALTERNADOR DE COROLLA 4A;1;42857,14;;;
27060-74360;;ALTERNADOR DE RAV4 3S;0;57142,86;;;
27060-74410;;ALTERNADOR DE TOYOTA RAV4 3S;0;57142,86;;;
27060-21150;;ALTERNADOR DE TOYOTA YARIS 80A;0;78571,43;;;
27060-30220;;ALTERNADOR DE 1KD 110A;0;114285,71;;;
TS16949;;ALTERNADOR DE CHEVROLET N300;0;50000,00;;;
27060-16170;;ALTERNADOR DE COROLLA 4AF;0;42857,14;;;
27060-0L021;;ALTERNADOR DE HILUX N/M;0;121428,57;;;
36100-2B030;54651-1R000;ALTERNADOR DE HYUNDAI ACCENT -2B101;1;100000,00;;;
109-080;;ALTERNADOR DE HYUNDAI ATOZ/I10 12V / PICANTO G4HG /SPARK 109-005;2;50000,00;;;
109-086;;ALTERNADOR DE HYUNDAI ELANTRA/ I20/ KIA RIO/G4FC 012 37300-2B101;0;100000,00;;;
107-028;;ALTERNADOR DE HYUNDAI GALLOPER 6G72 12V MD168989;3;85714,29;;;
37300-03100;;ALTERNADOR DE HYUNDAI I10 16V G4LA;1;92857,14;;;
109-044-W;;ALTERNADOR DE HYUNDAI I30/KIA RIO / I20;1;92857,14;;;
37300-27013;;ALTERNADOR DE HYUNDAI MATRIX;1;64285,71;;;
37300-2G400;;ALTERNADOR DE HYUNDAI TUCSON/1X35 N/M;0;107142,86;;;
109-027;;ALTERNADOR DE HYUNDAI TUCSON/IX35/ KIA RIO A/M/ KIA SPORTAGE 11- 37300-22650;1;107142,86;;;
31400-80G01;;ALTERNADOR DE JIMMY M13A / M15A;0;100000,00;;;
ALT 107-017;;ALTERNADOR DE MITS PAJERO/L200 4D56 2 POLI MD111932;0;107142,86;;;
MD070310;;ALTERNADOR DE MITSUBISHI L200 4D55;0;100000,00;;;
107-105;;ALTERNADOR DE MITSUBISHI L200/PAJERO N/M MD343562;2;107142,86;;;
ALT 102-042;;ALTERNADOR DE NISSAN NAVARA QD32 HARDBODY;1;107142,86;;;
27060-65030;;ALTERNADOR DE TOYOTA 4-RUNNER 3VZ/5VZ;2;92857,14;;;
27060-62160;;ALTERNADOR DE TOYOTA 4RUNNER PRADO 3VZ 12V 80A;0;92857,14;;;
ALT 101-035;;ALTERNADOR DE TOYOTA CORROLLA 4AF;1;50000,00;;;
ALT 101-139;;ALTERNADOR DE TOYOTA HILUX 2KD 85A / 80A 27060-0L020;3;121428,57;;;
27060-0C020;;ALTERNADOR DE TOYOTA HILUX/HIACE 2TR ALT101-583;0;85714,29;;;
101-072;;ALTERNADOR DO CAMRY 2.2 3S 12V/70A;0;64285,71;;;
27040-54210 FYDC;;ALTERNADOR DO COMUTER 3L 5L ALT-101-104;1;107142,86;;;
27030-54070;;ALTERNADOR DO HIACE 2L;0;42857,14;;;
MD350608;;ALTERNADOR DO MIT L200 N/M,GASOLEO;1;100000,00;;;
107-132;;ALTERNADOR DO MIT. 4D35 24V/40A;0;121428,57;;;
ME017614;;ALTERNADOR DO MITSUBISHI CANTER 4D34;0;121428,57;;;
MD102865-W;;ALTERNADOR DO MITSUBISHI CANTER 4D65;0;0,00;;;
MD111932 STRH;;ALTERNADOR DO MITSUBISHI PAJERO,L300 4D56 2 POLI ALT-107-017;4;107142,86;;;
MD111932-2P;;ALTERNADOR DO MITSUBISHI PAJERO,L300 4D56;0;71428,57;;;
23100-02N16;;ALTERNADOR DO NISSAN PATROL TD27;0;85714,29;;;
27060-74370;;ALTERNADOR DO RAV4;0;57142,86;;;
101-160 60A;;ALTERNADOR DO TOYOTA 4RUNNER 12V / 60A;1;107142,86;;;
37300-2E820;;ALTERNADOR G4NC 2.0 TUCSON 2019;0;0,00;;;
27060-0L290;;ALTERNADOR HILUX NOVO 2GDFTV;0;150000,00;;;27060-0L110
31400-80G01 RDOC;;ALTERNADOR J20A / M13A / M15A / ALT 111-017;1;85714,29;;;
WL91-18-300;;ALTERNADOR MAZDA PICK-UP WL 12V;0;100000,00;;;
23100-4M510 ATKM;;ALTERNADOR QG13DE / QG15DE / ALT 102-078;2;107142,86;;;
ALT 1;;ALTERNATOR 2KD;0;121428,57;;;
1GR;;ALTERNATOR DE 1GR;0;135714,29;;;
54660-1E000 SECO;;AMORTECEDOE DE FRENTE DE KIA RIO/ACCENT 06-09;0;64000,00;;;
54650-1E000 SECO;;AMORTECEDOE DE FRENTE DE KIA RIO/ACCENT 06-09;0;64000,00;;;
41602-61J00 TOKICO;A2309;AMORTECEDOR DE FRENTE APV 07-12 F/L;1;80000,00;;;SHB-3564 / A2309
B2354;;AMORTECEDOR DE FRENTE AVANZA 13- FL;0;40000,00;;;
SD2007 TOKICO;;AMORTECEDOR DE DERICAO TOYOTA HILUX 2.8;0;55000,00;;;SD2007 / KS1002 / KS1005
SD2007;;AMORTECEDOR DE DIRECAO DO HILUX 2.8;2;20000,00;;;
KS1013;;AMORTECEDOR DE DIRECAO L/CRUISER 07- HZJ78/79;0;35000,00;;;
KS1013 DYNC;45700-60140;AMORTECEDOR DE DIRECAO L/CRUISER 07- HZJ78/79;3;35000,00;;;45700-69175 /45700-60140 / L/C / STD-1021
KS1008;;AMORTECEDOR DE DIRECAO L/CRUISER 90-97 FJ80;0;35000,00;;;45700-60051 / SD2008 / STD-1013
KS1011;;AMORTECEDOR DE DIRECCAO HILUX 89-97 / 4RUNNER;0;35000,00;;;STD-1007
SD2902;;AMORTECEDOR DE DRICECAO N/PATROL 92-97 Y60;0;45000,00;;;SD2967 / 48611-26J00 / STD-1018
332101 SECO;96316747;AMORTECEDOR DE FRENTE ALTO 800 / MATIZ / SPARK 98-04 F/L;0;40000,00;;;SSGM-429 / SHB-3044
332100 SECO;;AMORTECEDOR DE FRENTE ALTO 800 / MATIZ / SPARK 98-04 F/R;0;40000,00;;;SSGM-428 / SHB-3043
54650-1Y000 SECO;;AMORTECEDOR DE FRENTE PICANTO 12-13 F/L;0;45000,00;;;54650-1Y200 / FS218-6 / 4213-0668 / SHB-3650
54650-1E000;;AMORTECEDOR DE FRENTE ACCENT / RIO 06-09 F/L;0;64000,00;;;3330051
54660-1E000;;AMORTECEDOR DE FRENTE ACCENT / RIO 06-09 F/R;0;64000,00;;;3330053
54650-1R000 SECO;54661-1R000;AMORTECEDOR DE FRENTE ACCENT /RIO 11-13 F/L;2;44000,00;;;54651-1R000 / SF1111 MOBIS (6) / SHB-3569 / RIO
54660-1R000 SECO;54661-1R000;AMORTECEDOR DE FRENTE ACCENT/ RIO 11-13 F/R;2;44000,00;;;SF1112 MOBIS (7) / SHB-3570 / RIO
41601-61J00 TOKICO;A2308;AMORTECEDOR DE FRENTE APV 07-12 F/R;1;80000,00;;;SHB-3563 / A2308
B2353;;AMORTECEDOR DE FRENTE AVANZA 13- FR;0;40000,00;;;
